GENE_SYMBOL,control,low_dose,high_dose
1110006O24Rik,8.187499999999998,8.246,8.1495
1110007C09Rik,9.628166666666667,9.793333333333333,9.871333333333334
1110008F13Rik,14.539333333333337,14.527499999999998,14.483833333333335
1110008J03Rik,7.0489999999999995,7.107499999999999,7.0365
1110008L16Rik,7.356166666666668,7.248333333333335,7.208666666666666
1110008P14Rik,9.695666666666668,9.792499999999999,9.870333333333333
1110012L19Rik,10.709499999999998,10.887833333333333,10.854833333333334
1110014N23Rik,7.5906666666666665,7.538166666666666,7.526833333333333
1110017D15Rik,5.941166666666667,5.849166666666668,5.889666666666667
1110018G07Rik,10.756555555555556,10.478055555555555,10.844055555555554
1110018J18Rik,10.132499999999999,10.038,9.842
1110020A21Rik,8.147666666666666,8.6255,8.441166666666666
1110020G09Rik,9.910083333333334,9.744666666666667,9.778583333333332
1110021J02Rik,7.419833333333333,7.463166666666666,7.3687499999999995
1110021L09Rik,7.602666666666667,7.538833333333334,7.392333333333333
1110028C15Rik,6.79475,6.869250000000001,6.853833333333334
1110031I02Rik,9.824666666666667,9.880833333333333,9.992666666666667
1110032A03Rik,9.026916666666667,8.976833333333333,9.097666666666667
1110034A24Rik,7.903916666666667,7.972916666666666,7.879416666666667
1110034B05Rik,8.707166666666666,8.845833333333333,8.789833333333334
1110034G24Rik,8.852666666666666,8.759666666666666,8.770333333333333
1110035E04Rik,5.988333333333333,5.849833333333333,5.871333333333332
1110035H17Rik,6.3308333333333335,6.084333333333333,6.202166666666667
1110037F02Rik,8.254333333333333,8.305416666666666,8.345166666666666
1110038B12Rik,9.674999999999999,9.409500000000001,9.599166666666667
1110038D17Rik,10.727916666666665,10.896916666666664,10.49775
1110038F14Rik,10.974166666666667,10.896833333333333,11.040500000000002
1110049F12Rik,9.382833333333332,9.14475,9.196750000000002
1110051M20Rik,6.457000000000001,6.265249999999999,6.479083333333333
1110054M08Rik,10.239666666666666,10.2255,10.376166666666668
1110054O05Rik,5.87525,5.968333333333334,5.847833333333334
1110057K04Rik,11.383000000000001,11.281500000000001,11.218333333333334
1110058L19Rik,10.547166666666667,10.742166666666668,10.782333333333334
1110059E24Rik,10.341666666666667,10.264833333333334,10.513333333333334
1110059G10Rik,7.0776666666666666,7.299416666666667,7.176583333333333
1110065P20Rik,9.799666666666667,9.950583333333332,9.797416666666665
1110067D22Rik,10.969833333333332,11.265166666666667,10.900333333333334
1190001L17Rik,6.329166666666666,6.214333333333332,6.3125
1190002N15Rik,8.8895,9.004833333333332,8.884499999999997
1190003J15Rik,15.694250000000002,15.84175,15.8005
1190005F20Rik,8.344666666666667,8.203166666666666,8.299333333333333
1190005I06Rik,9.526666666666667,9.200999999999999,9.526666666666667
1190007F08Rik,7.202416666666665,7.343750000000001,7.109666666666667
1190007I07Rik,9.702833333333333,9.626333333333333,9.616333333333332
1200009I06Rik,8.184833333333334,8.336166666666665,8.621166666666667
1200011I18Rik,6.390333333333333,6.321166666666667,6.275166666666667
1200014J11Rik,7.113666666666667,7.144333333333333,7.175166666666667
1200016B10Rik,7.580000000000001,7.57811111111111,7.456611111111112
1300001I01Rik,13.639666666666669,13.387500000000003,13.675333333333333
1300002E11Rik,7.223916666666667,7.127666666666667,7.156916666666665
1300002K09Rik,11.594166666666666,11.761583333333332,11.685833333333333
1300010F03Rik,9.798,9.597499999999998,9.580944444444444
1300014I06Rik,11.721000000000002,12.137,11.649166666666666
1300015D01Rik,6.8308333333333335,6.961833333333334,6.669833333333333
1300017J02Rik,14.448750000000002,14.45583333333333,14.542416666666668
1300018I17Rik,10.722666666666669,10.959333333333333,10.876666666666667
1300018J18Rik,11.288166666666667,11.049666666666667,11.346333333333334
1500001M20Rik,9.2435,9.13,9.240666666666668
1500002O20Rik,9.1055,9.0695,9.1235
1500003O03Rik,10.653541666666666,10.205250000000001,10.281583333333336
1500009C09Rik,5.822500000000001,5.844333333333334,5.903833333333334
1500010J02Rik,9.0425,8.9915,9.165500000000002
1500011B03Rik,5.9435,5.940166666666666,6.026666666666666
1500011H22Rik,8.911666666666667,8.745499999999998,8.759166666666667
1500011K16Rik,11.362500000000002,11.525999999999998,11.367499999999998
1500012F01Rik,10.325000000000001,9.945666666666668,9.792
1500026H17Rik,7.140666666666667,7.035666666666667,7.024000000000001
1500031L02Rik,10.094333333333333,9.868833333333333,9.906833333333333
1500032L24Rik,14.120999999999997,14.142333333333333,14.045500000000002
1600002H07Rik,8.937666666666667,9.262166666666667,8.616833333333334
